,이름,주소,구,브랜드,위도,경도
472,영등포아크로타워점,"서울 영등포구 국회대로54길 10 (영등포동7가, 아크로타워 스퀘어)",영등포구,이디야,37.5233486,126.9077563
473,영등포에이스점,서울 영등포구 경인로 775 (문래동3가),영등포구,이디야,37.5176033,126.895289
474,영등포점,서울 영등포구 영중로 16-1 (영등포동3가),영등포구,이디야,37.5187427,126.9070871
475,영등포중앙점,서울 영등포구 영중로 37 (영등포동4가),영등포구,이디야,37.5193148,126.9046511
476,영등포코레일점,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사)",영등포구,이디야,37.5154709,126.9066823
477,영등포홈플러스점,"서울 영등포구 당산로 42 (문래동3가, 홈플러스)",영등포구,이디야,37.5189549,126.8986982
478,한강성심병원점,서울 영등포구 버드나루로 51 (영등포동2가),영등포구,이디야,37.5212309,126.911986
479,한국수출입은행점,"서울 영등포구 은행로 38 (여의도동, 한국수출입은행빌딩)",영등포구,이디야,37.528594,126.9234204
480,힐스테이트클래시안점,"서울 영등포구 신길로28길 9 (신길동, 힐스테이트 클래시안)",영등포구,이디야,37.503593,126.912645
481,갈현점,서울 은평구 갈현로 268 (갈현동),은평구,이디야,37.6219431,126.9127496
482,구산역점,서울 은평구 연서로 148 (대조동),은평구,이디야,37.6119567,126.9176102
483,구파발역점,"서울 은평구 진관2로 29-21 (진관동, 드림스퀘어)",은평구,이디야,37.6458965,126.9262918
484,녹번동점,"서울 은평구 진흥로 156 (녹번동, 신명빌딩)",은평구,이디야,37.6086912,126.9269617
485,녹번중앙점,"서울 은평구 통일로 635 (녹번동, 녹번동메카오피스텔)",은평구,이디야,37.603474,126.9346394
486,독바위역점,"서울 은평구 불광로 128 (불광동, 배진하우스)",은평구,이디야,37.6180771,126.9333072
487,백련산아이파크점,"서울 은평구 응암로 264 (응암동, 서울빌딩)",은평구,이디야,37.5952388,126.9188557
488,본서부병원점,"서울 은평구 응암로 337 (응암동, 빛터룩스 빌딩)",은평구,이디야,37.6012692,126.9221517
489,불광역점,서울 은평구 통일로 731 (대조동),은평구,이디야,37.6104759,126.9292194
490,불광연서로점,서울 은평구 연서로 275 (불광동),은평구,이디야,37.6116009,126.9304684
491,불광중앙점,서울 은평구 불광로 59 (불광동),은평구,이디야,37.6122908,126.9317226
492,새절역점,서울 은평구 가좌로 272 (신사동),은평구,이디야,37.5953803,126.9075953
493,수색역점,서울 은평구 수색로 250 (수색동),은평구,이디야,37.5818859,126.8963113
494,역촌동점,서울 은평구 갈현로 82 (역촌동),은평구,이디야,37.6013705,126.9134783
495,역촌사거리점,서울 은평구 서오릉로 100 (대조동),은평구,이디야,37.60888310000001,126.9209257
496,역촌진흥로점,서울 은평구 진흥로1길 3 (역촌동),은평구,이디야,37.6033089,126.9185098
497,연신내역점,서울 은평구 통일로 855-9 (갈현동),은평구,이디야,37.6270657,126.9156137
498,연신내중앙점,서울 은평구 통일로 825 (대조동),은평구,이디야,37.6170165,126.9226896
499,연신내통일로점,서울 은평구 통일로 876 (불광동),은평구,이디야,37.6211624,126.9202577
500,은평구청점,서울 은평구 은평로 197 (녹번동),은평구,이디야,37.6016007,126.9296014
501,은평뉴타운점,"서울 은평구 진관3로 70 (진관동, 은평뉴타운상림마을)",은평구,이디야,37.6382514,126.9178214
502,은평이마트점,"서울 은평구 은평로 111 (응암동, 은평이마트)",은평구,이디야,37.6003946,126.9202149
503,응암역점,"서울 은평구 연서로 9 (역촌동, 센타폴리스)",은평구,이디야,37.5998561,126.9154719
504,응암오거리점,서울 은평구 응암로 211 (응암동),은평구,이디야,37.5908628,126.9171141
505,응암중앙점,서울 은평구 응암로 183 (응암동),은평구,이디야,37.5883944,126.9165713
506,증산동점,서울 은평구 증산서길 78 (증산동),은평구,이디야,37.5833382,126.9065476
507,경복궁역점,서울 종로구 자하문로 7 (체부동),종로구,이디야,37.5790658,126.9697902
508,광화문점,서울 종로구 세종대로23길 15 (도렴동),종로구,이디야,37.571457,126.9756366
509,광화문트윈트리타워점,"서울 종로구 율곡로 6 (중학동, 트윈 트리 빌딩)",종로구,이디야,37.5755279,126.9800596
510,낙원동점,서울 종로구 낙원동 ,종로구,이디야,37.57284569999999,126.9884126
511,대학로점,서울 종로구 대학로10길 17 (동숭동),종로구,이디야,37.5820564,127.0031655
512,독립문역점,서울 종로구 통일로 266 (무악동),종로구,이디야,37.5771577,126.9586244
513,동대문역점,"서울 종로구 율곡로 286 (종로6가, 야드인빌딩)",종로구,이디야,37.5718325,127.0081491
514,동묘역점,서울 종로구 종로 354 (숭인동),종로구,이디야,37.5776264,127.0223891
515,방통대점,서울 종로구 대학로 81-1 (연건동),종로구,이디야,37.5783148,127.0017255
516,배화여대점,서울 종로구 필운대로1길 35 (필운동),종로구,이디야,37.5778275,126.9679917
517,북촌마을점,서울 종로구 북촌로5길 39 (화동),종로구,이디야,37.57953759999999,126.9836008
518,삼일빌딩점,서울 종로구 삼일대로15길 13 (관철동),종로구,이디야,37.5687786,126.986596
519,상명대점,서울 종로구 홍지동,종로구,이디야,37.601247,126.9562041
520,성균관대점,서울 종로구 성균관로 8 (명륜2가),종로구,이디야,37.5845216,126.9994393
521,숭인점,서울 종로구 숭인동길 6 (숭인동),종로구,이디야,37.5752518,127.0215847
522,신설점,서울 종로구 난계로29길 30 (숭인동),종로구,이디야,37.5741948,127.0214683
523,종각점,서울 종로구 삼일대로19길 24 (관철동),종로구,이디야,37.5694966,126.9866708
524,종로3가점,서울 종로구 종로 126 (종로3가),종로구,이디야,37.5700276,126.9917137
525,종로4가점,서울 종로구 김상옥로 1 (인의동),종로구,이디야,37.5734546,126.9978915
526,종로5가점,서울 종로구 대학로 33 (효제동),종로구,이디야,37.5738196,127.0027668
527,종로교차로점,서울 종로구 동호로 406-1 (종로5가),종로구,이디야,37.5705613,127.002241
528,종로구청점,서울 종로구 수송동,종로구,이디야,37.5739802,126.9804234
529,종로르메이에르점,서울 종로구 종로1가 르메이에르종로타운,종로구,이디야,37.5709593,126.9798759
530,종로삼일대로점,서울 종로구 삼일대로 390-1 (관철동),종로구,이디야,37.5690625,126.9872746
531,종로타워점,"서울 종로구 종로 51 (종로2가, 종로타워)",종로구,이디야,37.57079,126.98356
532,창덕궁점,서울 종로구 돈화문로 41-1 (묘동),종로구,이디야,37.5741088,126.991447
533,창신동점,서울 종로구 종로 316-1 (창신동),종로구,이디야,37.5745846,127.008896
534,창신중앙점 ,서울 종로구 지봉로 64 (숭인동),종로구,이디야,37.5756904,127.0158154
535,탑골공원점,서울 종로구 낙원동 ,종로구,이디야,37.57284569999999,126.9884126
536,혜화동로터리점,서울 종로구 혜화로 3-1 (혜화동),종로구,이디야,37.5860305,127.0005638
537,혜화역점,서울 종로구 창경궁로 258-15 (명륜2가),종로구,이디야,37.5846573,127.0002379
538,IBK본점,"서울 중구 을지로 79 (을지로2가, 기업은행)",중구,이디야,37.56566979999999,126.9894519
539,YTN점,서울 중구 세종대로1길 11 (봉래동1가),중구,이디야,37.5597113,126.9746181
540,광희동점,서울 중구 마른내로 165-1 (광희동1가),중구,이디야,37.564787,127.006136
541,다동점,서울 중구 다동길 46 (다동),중구,이디야,37.56782159999999,126.9817119
542,동국대후문점,"서울 중구 창경궁로 2 (충무로5가, 남경빌딩)",중구,이디야,37.5624822,126.9986871
543,동대문점,서울 중구 을지로43길 38 (을지로6가),중구,이디야,37.5676676,127.0077516
544,동평화점,서울 중구 청계천로 318 (신당동),중구,이디야,37.5694218,127.0132185
545,만리동고개점,"서울 중구 만리재로 175 (만리동2가, 서울역센트럴자이),402동 102호",중구,이디야,37.554538,126.9636814
546,명동역점,서울 중구 퇴계로 103 (충무로1가),중구,이디야,37.5609432,126.9825464
547,명동중앙점,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)",중구,이디야,37.5646918,126.9838429
548,서소문점,서울 중구 서소문로11길 8 (서소문동),중구,이디야,37.5632228,126.973086
549,서울시청점,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)",중구,이디야,37.5671385,126.978497
550,신당점,서울 중구 다산로35길 11 (신당동),중구,이디야,37.56351799999999,127.0148075
551,신당중앙점,서울 중구 퇴계로 455 (황학동),중구,이디야,37.56744380000001,127.0198915
552,약수역점,서울 중구 동호로 186-13 (신당동),중구,이디야,37.5545654,127.0114859
553,오장동점,서울 중구 마른내로 109-1 (오장동),중구,이디야,37.5645748,127.0001136
554,을지로3가점,서울 중구 수표로 45 (저동2가),중구,이디야,37.5634861,126.9902353
555,정동점,서울 중구 정동길 2-1 (정동),중구,이디야,37.5679414,126.9693423
556,중림점,서울 중구 청파로 464 (중림동),중구,이디야,37.5607773,126.9682129
557,청구역점,서울 중구 다산로 181-2 (신당동),중구,이디야,37.5597511,127.0132283
558,충무로3가점,서울 중구 퇴계로27길 31 (충무로3가),중구,이디야,37.56252509999999,126.9912341
559,충무로점,서울 중구 퇴계로 188 (필동1가),중구,이디야,37.5609015,126.9924937
560,충무아트홀점,서울 중구 퇴계로 381-1 (신당동),중구,이디야,37.5652402,127.0139856
561,충무필동점,서울 중구 퇴계로 218-5 (필동2가),중구,이디야,37.561541,126.9936459
562,충정로역점,"서울 중구 중림로 10 (중림동, 중림동 삼성 사이버 빌리지)",중구,이디야,37.5587312,126.9649372
563,태평로점,서울 중구 세종대로11길 26 (서소문동),중구,이디야,37.5621115,126.9740103
564,퇴계로2길점,서울 중구 퇴계로2길 1 (남창동),중구,이디야,37.5575233,126.9773972
565,한국은행점,서울 중구 남대문로 29-2 (남대문로3가),중구,이디야,37.5619687,126.9803334
566,황학롯데캐슬점,"서울 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",중구,이디야,37.571596,127.022479
567,회현SK리더스점,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)",중구,이디야,37.5592302,126.9806639
568,강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구,이디야,37.55737130000001,127.1725399
569,강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구,이디야,37.5288753,127.1222899
570,강동성내점,서울 강동구 풍성로 162 (성내동),강동구,이디야,37.5304839,127.1298465
571,강동신명초교점,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",강동구,이디야,37.540617,127.149247
572,강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구,이디야,37.5369841,127.1304589
573,강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워)",강동구,이디야,37.5665592,127.1737804
574,고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동),강동구,이디야,37.5603577,127.1636874
575,고덕래미안힐스점,"서울 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",강동구,이디야,37.5602282,127.1493354
576,고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구,이디야,37.5540951,127.1551471
577,굽은다리역점,서울 강동구 양재대로 1543 (천호동),강동구,이디야,37.5434703,127.1418503
578,길동사거리점,서울 강동구 천호대로 1132 (성내동),강동구,이디야,37.5302922,127.1287651
579,길동역점,서울 강동구 양재대로 1471 (길동),강동구,이디야,37.5372792,127.1393753
580,길동중앙점,서울 강동구 명일로 200 (길동),강동구,이디야,37.5365076,127.1459209
581,둔촌점,서울 강동구 양재대로 1377 (성내동),강동구,이디야,37.5302922,127.1287651
582,명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구,이디야,37.5503207,127.145546
583,명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구,이디야,37.5484567,127.1487867
584,보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구,이디야,37.5287091,127.1431767
585,상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구,이디야,37.5523456,127.175784
586,암사3동점,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)",강동구,이디야,37.5534915,127.1390945
587,암사역점,"서울 강동구 올림픽로 782 (암사동, 501타워)",강동구,이디야,37.5508357,127.1281014
588,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구,이디야,37.5516267,127.1348226
589,올림픽북문점,서울 강동구 성안로 7 (성내동),강동구,이디야,37.5244902,127.1288855
590,천호로데오점,서울 강동구 천호대로 1027 (천호동),강동구,이디야,37.5381679,127.1262834
591,천호역점,서울 강동구 천호대로 1006 (성내동),강동구,이디야,37.5302922,127.1287651
592,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구,이디야,37.540115,127.1245713
593,천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구,이디야,37.5474982,127.1305473
594,천호현대점,서울 강동구 올림픽로 665 (천호동),강동구,이디야,37.5408846,127.1238516
595,개봉북부점,서울 구로구 경인로40길 12 (개봉동),구로구,이디야,37.495564,126.8590429
596,개봉역점,서울 구로구 남부순환로97길 11 (개봉동),구로구,이디야,37.4941792,126.8583787
597,개봉중앙점,서울 구로구 개봉로3길 26 (개봉동),구로구,이디야,37.48641,126.8548809
598,개봉현대점,서울 구로구 개봉로 69 (개봉동),구로구,이디야,37.4918637,126.8555982
599,고대구로병원점,서울 구로구 구로동로 157 (구로동),구로구,이디야,37.492533,126.8833543
600,고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구,이디야,37.5057472,126.8582376
601,고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구,이디야,37.5011414,126.8625002
602,구로NC점,서울 구로구 구로동로 240 (구로동),구로구,이디야,37.4999675,126.8826973
603,구로거리공원점,서울 구로구 구로중앙로28길 73 (구로동),구로구,이디야,37.5007554,126.8893254
604,구로고척점,"서울 구로구 고척로 149 (고척동, 상암빌딩)",구로구,이디야,37.50308649999999,126.850169
605,구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,구로구,이디야,37.5003075,126.8289067
606,구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구,이디야,37.5060959,126.87662
607,구로에이스점,서울 구로구 디지털로33길 11 (구로동),구로구,이디야,37.4856641,126.8955021
608,구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구,이디야,37.5034025,126.880915
609,구로이마트점,서울 구로구 디지털로32길 43 (구로동),구로구,이디야,37.4843537,126.89788
610,구로중앙점,서울 구로구 도림로 79 (구로동),구로구,이디야,37.4900511,126.8920236
611,구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구,이디야,37.5023699,126.8814842
612,구로항동지구점,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",구로구,이디야,37.486525,126.8252088
613,구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구,이디야,37.4950273,126.872004
614,남구로역점,서울 구로구 디지털로27길 127 (가리봉동),구로구,이디야,37.4846716,126.8870975
615,동양미래대학점,서울 구로구 경인로47길 14 (고척동),구로구,이디야,37.500202,126.8670179
616,메르디앙고척점,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)",구로구,이디야,37.5028461,126.8632325
617,성공회대점,서울 구로구 연동로 312 (항동),구로구,이디야,37.4872294,126.8242853
618,신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구,이디야,37.5095401,126.8820361
619,신도림테크노마트점,서울 구로구 새말로 97 (구로동),구로구,이디야,37.5070431,126.8902185
620,오류남부점,서울 구로구 오류로8길 65 (오류동),구로구,이디야,37.4926091,126.8437777
621,오류북부역점,서울 구로구 경인로20길 6 (오류동),구로구,이디야,37.4966004,126.838513
622,천왕이펜하우스점,서울 구로구 천왕로 36 (천왕동),구로구,이디야,37.4816349,126.8418958
623,경희대점,서울 동대문구 경희대로 4 (회기동),동대문구,이디야,37.591867,127.0525122
624,경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",동대문구,이디야,37.5948937,127.0491562
625,답십리사거리점,서울 동대문구 답십리로 145 (답십리동),동대문구,이디야,37.5730325,127.0561006
626,답십리역점,서울 동대문구 천호대로 265 (답십리동),동대문구,이디야,37.56902609999999,127.0573024
627,답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",동대문구,이디야,37.5714784,127.0577096
628,동대문구청점,서울 동대문구 천호대로 153-1 (용두동),동대문구,이디야,37.5795817,127.0299297
629,동부병원사거리점,서울 동대문구 무학로 104 (용두동),동대문구,이디야,37.5735046,127.0309651
630,배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동),동대문구,이디야,37.5784698,127.069321
631,서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",동대문구,이디야,37.583249,127.0548191
632,신설동역점,서울 동대문구 천호대로 11-3 (신설동),동대문구,이디야,37.5780881,127.027344
633,외대점,서울 동대문구 휘경로 12 (이문동),동대문구,이디야,37.59582040000001,127.0612654
634,용두동사거리점,서울 동대문구 왕산로 68 (용두동),동대문구,이디야,37.5757009,127.034989
635,용두동점,서울 동대문구 고산자로 413-1 (용두동),동대문구,이디야,37.5766232,127.0379189
636,이문점 ,서울 동대문구 신이문로 19 (이문동),동대문구,이디야,37.6031045,127.064235
637,장안동사거리점,서울 동대문구 답십리로 309 (장안동),동대문구,이디야,37.572295,127.0748317
638,장안동점,서울 동대문구 장한로 43 (장안동),동대문구,이디야,37.5650632,127.0666931
639,장안중랑천점,서울 동대문구 장한로18길 32 (장안동),동대문구,이디야,37.5674947,127.0707583
640,장안중앙점,서울 동대문구 사가정로25길 42 (장안동),동대문구,이디야,37.5806425,127.0709617
641,장한평군자초교점,서울 동대문구 한천로2길 53 (장안동),동대문구,이디야,37.5627974,127.0613958
642,전농뉴타운점,서울 동대문구 답십리로 77 (전농동),동대문구,이디야,37.5750329,127.0496055
643,전농사거리점,서울 동대문구 사가정로 132 (전농동),동대문구,이디야,37.5775568,127.0595101
644,청량리점,서울 동대문구 왕산로 225 (청량리동),동대문구,이디야,37.5832353,127.0447165
645,촬영소사거리점,서울 동대문구 답십리로 264 (장안동),동대문구,이디야,37.5722268,127.0694723
646,회기역점,"서울 동대문구 망우로 67 (휘경동, 효자 워너빌)",동대문구,이디야,37.5899254,127.0606026
647,회기역중앙점,서울 동대문구 회기로 194-1 (휘경동),동대문구,이디야,37.5897957,127.0574889
648,논골사거리점,서울 성동구 난계로 35 (금호동1가),성동구,이디야,37.5554834,127.0244633
649,답십리로데오점,서울 성동구 용답19길 17-1 (용답동),성동구,이디야,37.5637339,127.052529
650,뚝섬역점,서울 성동구 상원길 38-1 (성수동1가),성동구,이디야,37.5473256,127.048794
651,마장동점,서울 성동구 고산자로 339-2 (마장동),성동구,이디야,37.5699814,127.0373421
652,마장역점,서울 성동구 마장로 293-1 (마장동),성동구,이디야,37.5659109,127.0421543
653,상왕십리역점,서울 성동구 무학봉15길 27 (하왕십리동),성동구,이디야,37.5636352,127.0301592
654,서울숲역점,서울 성동구 왕십리로 96-1 (성수동1가),성동구,이디야,37.5391701,127.0474244
655,성동구청점,서울 성동구 고산자로 269 (도선동),성동구,이디야,37.5632818,127.0328803
656,성수2가점,서울 성동구 성덕정길 106 (성수동2가),성동구,이디야,37.5371206,127.0550961
657,성수아카데미점,서울 성동구 성수이로 118 (성수동2가),성동구,이디야,37.5451437,127.0578284
658,성수우리W타워점,서울 성동구 아차산로15길 19 (성수동2가),성동구,이디야,37.5447256,127.0621362
659,성수중앙점,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)",성동구,이디야,37.5442438,127.0552721
660,신금호역점,서울 성동구 금호산길 64 (금호동2가),성동구,이디야,37.5538555,127.0196077
661,옥수동점,서울 성동구 매봉길 12 (옥수동),성동구,이디야,37.5452467,127.0156749
662,옥수역점,서울 성동구 한림말5길 9 (옥수동),성동구,이디야,37.5419719,127.0167024
663,왕십리비트플렉스점,서울 성동구 왕십리광장로 17 (행당동),성동구,이디야,37.5621482,127.0379421
664,왕십리센트라스점,서울 성동구 무학로 22 (홍익동),성동구,이디야,37.5660457,127.0302943
665,왕십리역점,서울 성동구 왕십리로 309 (행당동),성동구,이디야,37.5594078,127.0330515
666,응봉동점,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)",성동구,이디야,37.5509821,127.0309093
667,장한평역점,서울 성동구 천호대로 426 (용답동),성동구,이디야,37.560746,127.0662025
668,텐즈힐점,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)",성동구,이디야,37.5664459,127.030702
669,한양대점,서울 성동구 사근동길 4 (행당동),성동구,이디야,37.5598989,127.0415624
670,행당동점,서울 성동구 고산자로 201 (행당동),성동구,이디야,37.5580159,127.0337407
671,IBK고객센터점,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",용산구,이디야,37.5350224,127.0070392
672,동부이촌동점,서울 용산구 이촌로77길 19 (이촌동),용산구,이디야,37.52040119999999,126.974878
673,동자동점,서울 용산구 후암로 93 (동자동),용산구,이디야,37.5533136,126.975103
674,삼각지점,서울 용산구 한강대로 138 (한강로2가),용산구,이디야,37.5304542,126.9695065
675,숙대입구역점,서울 용산구 한강대로 289 (갈월동),용산구,이디야,37.5440208,126.9719508
676,순천향병원점,서울 용산구 대사관로 72 ,용산구,이디야,37.5330587,127.0059327
677,용문점,서울 용산구 원효로41길 73 (원효로2가),용산구,이디야,37.5353044,126.959382
678,용산원효점,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",용산구,이디야,37.5342316,126.9526308
679,용산중앙점,서울 용산구 한강대로 52-1 (한강로3가),용산구,이디야,37.5255891,126.9648264
680,용산청파점,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",용산구,이디야,37.54940759999999,126.9668779
681,용산효창점,서울 용산구 효창원로66길 2 (효창동),용산구,이디야,37.5410418,126.9634863
682,용산후암점,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)",용산구,이디야,37.5494813,126.9776645
683,원효로점,서울 용산구 원효로 257 (원효로1가),용산구,이디야,37.5399325,126.9674607
684,이태원역점,서울 용산구 이태원로 176 (이태원동),용산구,이디야,37.5344441,126.990696
685,금란망우점,서울 중랑구 망우로 460 (망우동),중랑구,이디야,37.6000681,127.1031213
686,동원사거리점,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)",중랑구,이디야,37.589608,127.0941645
687,망우동점,서울 중랑구 망우로 416 (망우동),중랑구,이디야,37.5991279,127.0983355
688,망우중앙점,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",중랑구,이디야,37.5976442,127.0943462
689,먹골역점,서울 중랑구 동일로157길 13 (묵동),중랑구,이디야,37.6097015,127.0768818
690,면목경남아너스빌점,서울 중랑구 면목로27길 92 (면목동),중랑구,이디야,37.5742279,127.0805033
691,면목본동점,서울 중랑구 면목로 370 (면목동),중랑구,이디야,37.5849094,127.0885874
692,묵동자이점,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)",중랑구,이디야,37.613816,127.077513
693,봉화산역점,서울 중랑구 신내로 211 (신내동),중랑구,이디야,37.6163947,127.0926039
694,사가정아이파크점,"서울 중랑구 동일로92길 57 (면목동, 메디포레)",중랑구,이디야,37.5834599,127.0831625
695,사가정역점,서울 중랑구 면목로 325 (면목동),중랑구,이디야,37.5810983,127.0881584
696,상봉엠코점,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)",중랑구,이디야,37.598081,127.0905951
697,상봉역점,서울 중랑구 망우로 277 (상봉동),중랑구,이디야,37.5960169,127.0834048
698,상봉중앙점,서울 중랑구 망우로 316 (상봉동),중랑구,이디야,37.5964462,127.0875204
699,서울중랑경찰서점,서울 중랑구 신내역로3길 40-11 (신내동),중랑구,이디야,37.6126681,127.1032127
700,서울중화초등학교점,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)",중랑구,이디야,37.602308,127.0954454
701,신내동점,서울 중랑구 봉화산로 215 (신내동),중랑구,이디야,37.6076181,127.0965284
702,양원남부점,서울 중랑구 양원역로 25-10 (망우동),중랑구,이디야,37.6030497,127.107406
703,양원역점,서울 중랑구 양원역로14가길 24 (망우동),중랑구,이디야,37.6016933,127.1083226
704,용마산역점,서울 중랑구 면목로 254-1 (면목동),중랑구,이디야,37.5753971,127.0856773
705,우림시장점,서울 중랑구 봉우재로 240 (망우동),중랑구,이디야,37.595272,127.0993536
706,중랑교차로점,서울 중랑구 동일로 683 (면목동),중랑구,이디야,37.5913966,127.0798414
707,중랑역점,서울 중랑구 망우로 198 (상봉동),중랑구,이디야,37.593212,127.0748661
708,중화동점,서울 중랑구 동일로129길 1 (중화동),중랑구,이디야,37.5992928,127.0783484
709,중화역점,"서울 중랑구 동일로 815, 1층",중랑구,이디야,37.6030917,127.0788763
710,화랑대역점,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)",중랑구,이디야,37.6194506,127.0841605
